"","IDLink","Title","Headline","Source","Topic","PublishDate","SentimentTitle","SentimentHeadline","Facebook","GooglePlus","LinkedIn","status","Hour"
"1",79237,"EXCLUSIVE: Ex-Gitmo Warden Slams Obama's Release of ...","Obama has not excluded the use of executive authority to shut the doors of Gitmo, telling a press conference in December, """"""We will wait until","Breitbart News","obama","2016-02-21 21:37:09",0.0313042064587795,-0.269444444444444,1015,16,2,"private",21
"2",89565,"Kerry Will Visit Hiroshima Nuclear Site, Testing Water for Obama","Kerry may be testing the water for a potential trip to the city by President Barack Obama when he visits Japan for a G-7 leaders summit in late","Bloomberg","obama","2016-04-10 05:35:09",0.00988211768802619,-0.192919366431793,24,3,1,"private",5
"3",72227,"Fact check: Obama's final State of the Union","President Obama's final State of the Union Address came up short of the facts on several topics: """""" He embellished his record on jobs, citing","USA TODAY","obama","2016-01-13 13:28:47",-0.0883883476483184,0.0332552253273689,3280,37,53,"private",13
"4",50523,"Chile’s Economy Grows More Than Forecast as Investment Picks Up","Chile’s economy grew more than analysts had forecast in the first quarter as investment picked up after declining for much of the previous two years and government spending climbed higher. ","Bloomberg","economy","2016-05-18 06:04:00",0.00125629726907411,0.0936192636814565,-1,-1,-1,"private",6
"5",4716,"The Greek Crisis","But a Reuters analysis of corporate filings and economic data suggests shipping's heroic role in Greece's economy is largely a myth.","Reuters","economy","2015-11-25 13:20:15",0,-0.027277236279499,716,15,307,"private",13
"6",70740,"Chastened by immigration, Obama shows restraint on guns","WASHINGTON """""" As executive actions go, President Obama's effort to clamp down on illegal gun sales was relatively restrained. The actions","USA TODAY","obama","2016-01-06 15:24:43",-0.220970869120796,0.0838525491562421,90,4,4,"private",15
"7",66451,"China's President Xi and Obama discuss climate change by phone","Xi and Obama met at the start of the U.N. climate talks on Nov. 30, and pledged cooperation to reach an agreement. Negotiations are taking","Reuters","obama","2015-12-11 07:24:39",-0.141973090784643,0.125,25,3,8,"private",7
"8",15655,"Strong U.S. private payrolls data point to economy's resilience","U.S. private companies added workers at a brisk clip in December, pointing to underlying strength in the economy despite signs that growth slowed sharply in the fourth quarter. The economy is battling the impact of a buoyant dollar, inventory glut and relentless spending cuts by energy firms, which have been hurt by lower oil prices. ","Reuters via Yahoo! Finance","economy","2016-01-06 10:02:00",0.187760236072498,-0.140771728213661,-1,-1,-1,"private",10
"9",76239,"Obama to Propose a $10-a-Barrel Fee on Oil","WASHINGTON """""" President Obama's budget request to Congress will include a new fee on oil companies, requiring them to pay $10 to the","New York Times","obama","2016-02-04 21:05:30",-0.0833333333333333,0.0227310302329159,1147,36,705,"private",21
"10",14856,"Amid China rout, focus on stocks related to domestic economy","The sell-off is a good time to focus on stocks with a high exposure to the domestic economy. The pace of recovery is uneven, but there is no","Economic Times","economy","2016-01-07 22:38:18",0.266817177576707,-0.174863110116724,21,2,2,"private",22
