,IDLink,Title,Headline,sentiment,episodic,Source,Topic,PublishDate,SentimentTitle,SentimentHeadline,Facebook,GooglePlus,LinkedIn,status,Hour
1,18385,UBS's Orcel Sees Fed Keeping A Close Eye on the Economy,"UBS Group AG's investment-bank staff can expect a """"""solid year for compensation"""""" after the bank had a good first nine months of 2015,",1,1,Bloomberg,economy,1/21/16 8:18,0.202766379,0.094483094,1,0,0,private,8
2,76565,Obama’s Lofty Plans on Gun Violence Amount to Little Action,"President Obama made an emotional announcement last month of his plan to crack down on gun dealers, though the lack of aggressive enforcement so far is a reminder of the practical limits of his executive authority. ",-1,1,New York Times,obama,2/7/16 3:58,-0.120604538,-0.045138889,510,0,0,private,3
3,89610,Obama to meet Fed Chair Yellen on Monday,Obama has presided over a steady economic and jobs recovery since the 2008 financial crisis and is nearing the end of his term in office.,0,0,Reuters,obama,4/11/16 0:37,0.088388348,-0.114819832,139,8,20,private,0
4,53660,Brazil's Latest Economic Data Surprisingly Good For Ex-President ...,"You have to hand it to suspended president Dilma Rousseff, she finally got the economy moving weeks before she was impeached for",1,1,Forbes,economy,6/1/16 19:00,0.127604167,-0.093275313,18,0,19,private,19
5,12812,"Microsoft is considering a smaller, cheaper Xbox to compete with the Apple TV","Kevork Djansezian/Getty Images Microsoft is once again considering a slimmed-down, lower-cost version of the Xbox One video game console designed to take on the Apple TV, reports Brad Sams at Petri IT Knowledgebase.  Microsoft had considered a similar smaller Xbox back in 2013 when the Xbox One first launched, but scrapped it.  Sams, a long-time Microsoft reporter and blogger, says that he's ",0,0,Business Insider,microsoft,12/30/15 9:05,-0.069337525,-0.010594634,42,0,0,private,9
6,99831,Trump: Hillary hates Obama but sucks up to him to avoid jail,"Donald Trump came up with a new insult for Hillary Clinton on Friday, calling her a """"""thief"""""" and charging that she sucks up to President Obama",-1,0,New York Post,obama,6/4/16 4:55,0.09021098,-0.026557393,265,13,1,private,4
7,83955,Michelle Obama Has A Single Coming Out Tomorrow,"WASHINGTON, DC """""" MARCH 14: U.S. first lady Michelle Obama welcomes the Broadway cast of HAMILTON, including Christopher Jackson",0,0,Forbes,obama,3/15/16 17:55,-0.077339804,0.051559869,47,9,0,private,17
8,83169,Here's Why President Obama Isn't Going to Nancy Reagan's Funeral,"Bill Clinton didn't go to Pat Nixon's when he was president, and President Obama didn't go to Betty's Ford's funeral back in 2011. (First Lady",-1,0,Fortune,obama,3/11/16 14:20,0.098821177,0.148131758,47,3,1,private,14
9,52797,Swedish Economy Powers On as Record Stimulus Nears End of Era,"Scandinavia's biggest economy expanded 0.5 percent from the fourth quarter and 4.2 percent from the previous year, according to estimates",1,1,Bloomberg,economy,5/30/16 11:00,-0.103644525,0,5,0,0,private,11
10,92797,Royals scramble to hide 'Negro' art plaque ahead of Obama visit,"Before the Obamas visited (above), the Royal Family scrambled to hide the word &quot;negro&quot; on a painting (background). Photo: Getty Images",-1,0,New York Post,obama,4/27/16 3:33,0.030360517,0.066608771,39,4,0,private,3
11,12913,Microsoft to Warn E-Mail Users About Government Hacking Attempts,Microsoft Corp. said it will tell users of its e-mail and cloud storage services when government-backed hackers may have targeted them. ,-1,0,Bloomberg,microsoft,12/30/15 18:02,0.079056942,-0.178649068,45,13,148,private,18
12,56514,Microsoft's history of big deals,"Microsoft has a long history of putting its cash to work in tech deals. Has it helped its own shares, and the tech sector? ",1,1,CNBC,microsoft,6/14/16 6:38,0.053572462,0.016478772,-1,0,0,private,6
13,2320,"Limited economic fallout from Paris terror attacks, say analysts","Paris, France and the global economy will withstand Friday's terrorist attacks with few adverse effects, economists predicted on Monday as",1,0,Financial Times,economy,11/16/15 13:00,-0.208333333,0,14,4,8,private,13
14,99479,Has Obama ignored African American concerns? No. Here's the ...,"When he gave the commencement address recently at Howard University, President Obama spoke about race and the interests of African",1,1,Washington Post,obama,6/2/16 14:15,-0.065972222,0.167705098,159,1,2,private,14
15,89565,"Kerry Will Visit Hiroshima Nuclear Site, Testing Water for Obama",Kerry may be testing the water for a potential trip to the city by President Barack Obama when he visits Japan for a G-7 leaders summit in late,0,0,Bloomberg,obama,4/10/16 5:35,0.009882118,-0.192919366,24,3,1,private,5
16,87368,Obama and President Xi of China Vow to Sign Paris Climate Accord ...,"President Obama with President Xi Jinping of China in Le Bourget, outside Paris, in November during the United Nations climate conference.",0,0,New York Times,obama,4/1/16 2:09,0.216506351,0,159,3,28,private,2
17,103764,Why Susan Rice took the fall for Team Obama's bogus Benghazi ...,"In the wake of the Benghazi report, let's spare a few thoughts for President Obama's national security adviser, Susan Rice. Yes, the headlines",1,1,New York Post,obama,6/30/16 11:23,-0.022752939,0.062445723,95,3,0,private,11
18,78248,Ted Cruz Assails Obama for 'Years of Neglect' of US Military,"""""""If there is a silver lining in the Obama-Clinton foreign policy debacle, it is that now we know what a world without America would start to look",-1,1,ABC News,obama,2/16/16 16:38,0,-0.229272199,496,19,1,private,16
19,57553,Farhad's and Mike's Week in Tech: That Business of Microsoft ...,A Chinese taxi driver using the Didi Chuxing smartphone app in Beijing. The company raised more than $7 billion this week. Credit European,1,1,New York Times,microsoft,6/18/16 14:40,0,0.019987567,104,7,645,private,14
20,23845,Microsoft's new iPhone app thinks my annoying cat is 70 percent dog,"Thankfully, Microsoft has just created an iPhone app to help everyone identify breeds of dogs based on just a photo. Concerned about my",-1,0,The Verge,microsoft,2/11/16 14:01,-0.1381927,0.15204176,54,28,3,private,14
21,80538,Obama sings Ray Charles,President Barack Obama showed off his pipes in a PBS special Friday when he led a White House audience in a rendition of Ray Charles' &quot;What'd I Say.&quot; ,0,0,CNN,obama,2/27/16 13:59,0,-0.22568198,359,0,7,private,13
22,29284,"In New Economic Plan, China Bets That Hard Choices Can Be ...","BEIJING """""" As economic growth has fallen while debts and excess industrial output have risen, Chinese leaders have faced growing questions",-1,1,New York Times,economy,3/5/16 11:40,0.071275641,-0.321434772,261,18,112,private,11
23,29016,The tech industry is lining up behind Apple in its war with the FBI,"Google, Amazon, Facebook, LinkedIn, Twitter, Microsoft and Snapchat are among the companies that have filed court documents defending the Cupertino",-1,1,Business Insider,microsoft,3/4/16 10:20,-0.105790908,-0.090840262,5,3,30,private,10
24,78965,"TRUMP: If I were black, 'I would be so angry' at Obama","Republican presidential frontrunner Donald Trump said Friday that if he were a black man, he'd be especially angry at President Barack Obama. &quot;People don't",-1,1,Business Insider,obama,2/19/16 18:35,-0.072168784,-0.1625,134,2,5,private,18
25,63542,Obama is dangerously nonchalant about ISIS threats,"At that, Obama stirred himself to take offense at the suggestion that there was no action now. He interjected to say, """"""We've got a coalition,"""""" and",-1,1,New York Post,obama,11/25/15 4:35,0.047245559,-0.106229573,281,6,1,private,4
26,64535,Watchdogs are on the lookout for Obama appointees 'burrowing in,"Now, Republican members of Congress are warning the Obama administration to follow the rules and ensure that any conversions are",-1,1,Washington Post,obama,11/30/15 12:04,0.039528471,0.111803399,52,2,4,private,12
27,101043,Obama on Orlando shooting: 'An act of terror and an act of hate',Washington (CNN) President Barack Obama said federal law enforcement officials are investigating the mass shooting at a gay nightclub in,-1,0,CNN,obama,6/13/16 1:15,-0.242681336,0.006987712,267,1,4,private,1
28,59301,Modi government's response to feedback on its economic ...,&quot;I am increasingly impressed by how responsive this government is to the kind of feedback it gets on its economic performance. Yet it is a,1,1,Economic Times,economy,6/26/16 20:40,0.088388348,-0.037997501,-1,51,51,private,20
29,8244,Canada PM Justin Trudeau: Government Ready to Spend to Boost ...,"OTTAWA""""""Canadian Prime Minister Justin Trudeau says his government is ready to spend as needed to boost an economy weighed down by",1,1,Wall Street Journal,economy,12/9/15 23:22,0.158113883,0.024262686,0,1,0,private,23
30,97274,"Obama calls Duterte, highlights shared human rights values",(CNN) President Obama has personally called his counterpart in the Philippines with a subtle message about the importance of human rights.,1,0,CNN,obama,5/18/16 6:35,0,0.109108945,122,0,0,private,6
31,30317,IMF issues warning on global growth as China exports plunge,"The world faces a growing """"""risk of economic derailment"""""" and needs immediate action to boost demand, the International Monetary Fund",-1,1,Financial Times,economy,3/9/16 0:00,-0.029646353,-0.064442237,134,8,142,private,0
32,75080,Obama announces rule aimed to advance equal pay,"President Barack Obama will make his latest push to advance equal pay for women Friday, proposing a new rule that will require companies to report pay data by gender, race and ethnicity, the White House announced. ",0,0,CNN,obama,1/29/16 9:40,0.205257385,0.044375,1155,0,17,private,9
