,IDLink,Title,Headline,sentiment,episodic,Source,Topic,PublishDate,SentimentTitle,SentimentHeadline,Facebook,GooglePlus,LinkedIn,status,Hour
1,68938,A Closer Look At Obama Administration's Controversial Deportation ...,"The Obama administration is facing criticism for its deportation policy in the new year. Mark Krikorian, director of the Center for Immigration",-1,0,NPR,obama,12/26/15 22:23,-0.044194174,-0.004441682,29,1,1,public,22
2,80619,"Pitts: If Obama wasn't 'black' before, he certainly is now",The subject was Barack Obama and what the Republican presidential contender sees as the inferior quality of the president's blackness.,1,0,Salt Lake Tribune,obama,2/28/16 13:00,-0.007905694,-0.075312012,9,0,0,public,13
3,71992,Gun Rights Supporters Carry On After Obama's Executive Actions,"Next to piles of kids' coats and boots, against the wall in the living room of Jesse Mackey's home in Xenia, Ohio, there's a glass case with an",-1,0,NPR,obama,1/12/16 23:03,0.041666667,-0.133862418,52,3,2,public,23
4,85939,Obama Hopes Historic Visit Will Boost Cuba's Emerging Private Sector,"President Obama is hoping his visit will give it a boost. ROBERT SIEGEL, HOST: Even as the American visitors talk about their hopes for Cuban",1,1,NPR,obama,3/22/16 0:00,-0.009882118,-0.039861111,-1,-1,-1,public,0
5,83982,Obama deeply dismayed by 'vulgar' presidential campaign,U.S. President Barack Obama delivers remarks on divisiveness in U.S. politics at the annual Friends of Ireland Luncheon at the U.S. Capitol in,-1,1,PBS NewsHour,obama,3/15/16 18:35,-0.170084013,0.042900405,513,1,0,public,18
6,23692,Fed Chair Janet Yellen Warns Of Growing Risks To U.S. Economy,Federal Reserve Chair Janet Yellen made clear in congressional testimony Wednesday she sees an economy that faces increased risk.,-1,1,NPR,economy,2/10/16 21:24,0,0.017586589,12,0,12,public,21
7,79230,Harvard Student Groups Lose Law Firm’s Funding over Palestine Event,An international law firm has withdrawn its sponsorship of Harvard Law School student events after funds were used for a Justice for Palestine event. ,-1,1,The Forward,palestine,2/21/16 13:25,-0.039782747,0.051031036,0,0,0,public,13
8,87904,Obama Questions Trump's Knowledge About Foreign Policy And ...,"Without directly naming Donald Trump, President Obama said Friday that the candidate's statements on nuclear issues show he &quot;doesn't know",-1,1,NPR,obama,4/2/16 1:15,0.132582521,0.062775528,520,7,3,public,1
9,84578,Obama: Refusal To Consider Nominee Damages Public's Faith In ...,"Just after President Obama and I concluded our interview """""" and after the microphones and cameras clicked off """""" he added a thought.",-1,1,NPR,obama,3/18/16 9:12,0.051215278,-0.078043204,825,46,18,public,9
10,51425,"Gig Economy Reduces Lower Quality Entrepreneurial Activity, Study ...","The gig economy might allow entrepreneurs more freedom to earn a living working hours that suit start-up activities, but that it discourages",1,0,NPR,economy,5/24/16 11:52,0.099436891,-0.04836376,33,0,35,public,11
